,职位ID,职位名,薪资范围,公司ID,公司名,职位链接,发布时间,猎头名称,猎头ID,工作经验,公司主页,公司描述,岗位亮点
276,8366481,搜索研发工程师,15k-30k,89908,灯塔财经,https://www.lagou.com/jobs/8366481.html?show=18e8073f7d404fca98852914081537ff,1天前发布,,,经验3-5年 / 本科,https://www.lagou.com/gongsi/v1/48d91fd803b2915e85616321e1f406b062915138c8399b8b.html,"移动互联网,金融 / B轮 / 50-150人",“薪酬福利好发展空间好文化氛围好人性化制度”
277,8978494,算法测试工程师,15k-30k,37236,斗鱼直播,https://www.lagou.com/jobs/8978494.html?show=18e8073f7d404fca98852914081537ff,1天前发布,,,经验3-5年 / 本科,https://www.lagou.com/gongsi/v1/b9ef77309c80077119fca27b1a0b37f6825628c72f2822fa.html,MCN｜直播平台 / 上市公司 / 2000人以上,“良好的培养机制，top的福利待遇”
278,7415393,大数据平台运维工程师-武汉,10k-20k,164507,小鱼易连,https://www.lagou.com/jobs/7415393.html?show=18e8073f7d404fca98852914081537ff,1天前发布,,,经验1-3年 / 本科,https://www.lagou.com/gongsi/v1/43c026a2e770e26d742889333011eb535435715d824a3617.html,"工具类产品,智能硬件 / D轮及以上 / 500-2000人",“五险一金，定期体检，弹性工作，带薪年假”
279,8373158,开发实习生,2k-3k,7682,极验,https://www.lagou.com/jobs/8373158.html?show=18e8073f7d404fca98852914081537ff,1天前发布,,,经验在校/应届 / 本科,https://www.lagou.com/gongsi/v1/4026bac0a5c0f5cd9075a61fdda3d98860f95d2a6300a53b.html,信息安全 / B轮 / 50-150人,“发展前景 免费午餐 六险一金”
280,8927110,开发实习生(J6L8P),2k-4k,7682,极验,https://www.lagou.com/jobs/8927110.html?show=18e8073f7d404fca98852914081537ff,1天前发布,,,经验在校/应届 / 本科,https://www.lagou.com/gongsi/v1/3bfd58572f4ab06d3ba8057b12c7adaf3f00ff8f11ad5a11.html,信息安全 / B轮 / 50-150人,"“双休,午餐”"
281,6565428,Java开发工程师,15k-30k,3060,华为技术有限公司,https://www.lagou.com/jobs/6565428.html?show=18e8073f7d404fca98852914081537ff,1天前发布,,,经验3-5年 / 本科,https://www.lagou.com/gongsi/v1/0dbc2c8a66119d8978721744c7c0d0a77f378133700522aa.html,"智能硬件,IT技术服务｜咨询,制造业 / 不需要融资 / 2000人以上",“五险一金、绩效奖金、股票期权”
282,8419919,ai算法工程师,12k-18k,19657,天喻信息,https://www.lagou.com/jobs/8419919.html?show=18e8073f7d404fca98852914081537ff,1天前发布,,,经验3-5年 / 硕士,https://www.lagou.com/gongsi/v1/340be9bf4df72030a6531218dbbfc9123f9ae95493175c2d.html,"软件服务｜咨询,IT技术服务｜咨询 / 上市公司 / 2000人以上",“周末双休、六险一金”
283,8983300,测试开发工程师,20k-40k,123146037,北京如秄,https://www.lagou.com/jobs/8983300.html?show=18e8073f7d404fca98852914081537ff,1天前发布,,,经验3-5年 / 本科,https://www.lagou.com/gongsi/v1/e067e002a169e45c9ff037d011b7307c134c73368242a330c321df0198f6daee.html,"工具类产品,IT技术服务｜咨询,专业服务｜咨询 / 不需要融资 / 50-150人",“发展好，大平台”
284,8184880,地图数据后台开发工程师,20k-40k,451,腾讯,https://www.lagou.com/jobs/8184880.html?show=18e8073f7d404fca98852914081537ff,1天前发布,,,经验3-5年 / 本科,https://www.lagou.com/gongsi/v1/061a10ff4462190d2a7729f88c6fbadb.html,"游戏,社交媒体,音频｜视频媒体 / 上市公司 / 2000人以上",“大公司，大平台，技术挑战大，福利好”
285,6731436,腾讯云游戏解决方案后台开发（腾讯云全资子公司）,15k-30k,451,腾讯,https://www.lagou.com/jobs/6731436.html?show=18e8073f7d404fca98852914081537ff,1天前发布,,,经验3-5年 / 本科,https://www.lagou.com/gongsi/v1/ed44ed35cd6bd0aeb0a4824b0d09a899.html,"游戏,社交媒体,音频｜视频媒体 / 上市公司 / 2000人以上",“福利待遇，发展前景”
